"Brand_Reg","Avg_mode_power"
"AIWA",19.8
"AIWA",23.55
"AIWA",24.2
"AIWA",26.3
"AIWA",28
"AIWA",28.6
"AIWA",33.1
"AIWA",33.5
"AIWA",35.2
"AIWA",36.8
"AIWA",38.16
"AIWA",38.6
"AIWA",45.69
"AIWA",46.8
"AIWA",48.76
"AIWA",51.6
"AIWA",51.78
"AIWA",57.2
"AIWA",58.95
"AIWA",60.78
"AIWA",64.6
"AIWA",65.43
"AIWA",72
"AIWA",79.06
"AIWA",82.5
"AIWA",90.1
"AIWA",90.11
"AIWA",92.39
"AIWA",92.9
"AIWA",97.1
"AIWA",98.27
"AIWA",102
"AIWA",115.94
"AIWA",134.33
"AIWA",140.89
"AIWA",149.6
"AKAI",15.1
"AKAI",18
"AKAI",23.5
"AKAI",23.8
"AKAI",25.5
"AKAI",27.14
"AKAI",35.3
"AKAI",36.26
"AKAI",36.9
"AKAI",39.9
"AKAI",40.4
"AKAI",44.2
"AKAI",54.8
"AKAI",55.35
"AKAI",56.59
"AKAI",56.7
"AKAI",59.7
"AKAI",59.84
"AKAI",68.12
"AKAI",68.5
"AKAI",68.7096
"AKAI",76.37
"AKAI",85.2
"AKAI",92.66
"AKAI",93.528
"AKAI",94.374
"AKAI",95.274
"AKAI",96.3
"AKAI",100.2
"AKAI",106.97
"AKAI",108.1
"AKAI",117.61
"AKAI",159.1
"ALTIUS",15.1
"ALTIUS",15.38
"ALTIUS",18
"ALTIUS",23.5
"ALTIUS",27.036
"AOA",15.3
"AOA",31.92
"AOA",47.23
"AOA",50.04
"AOA",73.4
"ARK",14
"AVEL INNOVATIONS",24.01
"AVEL INNOVATIONS",24.37
"AVEL INNOVATIONS",39.33
"BAUHN",14.83
"BAUHN",15.1
"BAUHN",16.17
"BAUHN",17.766
"BAUHN",25.23
"BAUHN",27.14
"BAUHN",27.2
"BAUHN",28
"BAUHN",34.7
"BAUHN",39.8
"BAUHN",40
"BAUHN",42.3
"BAUHN",44.2
"BAUHN",45.5
"BAUHN",51.2
"BAUHN",52.6
"BAUHN",56.59
"BAUHN",56.7
"BAUHN",57.06
"BAUHN",59.7
"BAUHN",68.5
"BAUHN",69.65
"BAUHN",70
"BAUHN",73.991
"BAUHN",74.9
"BAUHN",76.37
"BAUHN",80.7
"BAUHN",81.288
"BAUHN",83
"BAUHN",94.374
"BAUHN",95.274
"BAUHN",96.3
"BAUHN",97.8
"BAUHN",99.75
"BAUHN",106.97
"BAUHN",107.4
"BAUHN",108.1
"BAUHN",108.29
"BAUHN",108.294
"BAUHN",109.038
"BAUHN",110.15
"BAUHN",110.35
"BAUHN",117.61
"BAUHN",127.7
"BAUHN",128.89
"BAUHN",130.5
"BAUHN",133.54
"BAUHN",159.1
"BLAUPUNKT",16.33
"BLAUPUNKT",20.5
"BLAUPUNKT",20.94
"BLAUPUNKT",22
"BLAUPUNKT",23.28
"BLAUPUNKT",23.55
"BLAUPUNKT",24.687
"BLAUPUNKT",25
"BLAUPUNKT",25.3
"BLAUPUNKT",25.68
"BLAUPUNKT",25.92
"BLAUPUNKT",27.25
"BLAUPUNKT",28
"BLAUPUNKT",28.7
"BLAUPUNKT",31.626
"BLAUPUNKT",31.9
"BLAUPUNKT",32.8
"BLAUPUNKT",33.5
"BLAUPUNKT",34.296
"BLAUPUNKT",34.4
"BLAUPUNKT",34.48
"BLAUPUNKT",34.76
"BLAUPUNKT",35.4
"BLAUPUNKT",35.63
"BLAUPUNKT",35.8
"BLAUPUNKT",41
"BLAUPUNKT",43.9
"BLAUPUNKT",45.3
"BLAUPUNKT",46.5216
"BLAUPUNKT",47.76
"BLAUPUNKT",47.9
"BLAUPUNKT",49.1
"BLAUPUNKT",50.5
"BLAUPUNKT",50.6
"BLAUPUNKT",50.67
"BLAUPUNKT",53.38
"BLAUPUNKT",53.5
"BLAUPUNKT",54.04
"BLAUPUNKT",57.3
"BLAUPUNKT",59.75
"BLAUPUNKT",75.18
"BLAUPUNKT",78.3
"BLAUPUNKT",78.5
"BLAUPUNKT",82.2
"BLAUPUNKT",85.767
"BLAUPUNKT",86.04
"BLAUPUNKT",87.678
"BLAUPUNKT",88.8
"BLAUPUNKT",91
"BLAUPUNKT",91.788
"BLAUPUNKT",93.324
"BLAUPUNKT",94.37
"BLAUPUNKT",94.65
"BLAUPUNKT",94.96
"BLAUPUNKT",96.612
"BLAUPUNKT",97.68
"BLAUPUNKT",98.85
"BLAUPUNKT",102.36
"BLAUPUNKT",105.156
"BLAUPUNKT",108.132
"BLAUPUNKT",109
"BLAUPUNKT",112.086
"BLAUPUNKT",115.1
"BLAUPUNKT",120
"BLAUPUNKT",124.968
"BLAUPUNKT",126.93
"BLAUPUNKT",127.8
"BLAUPUNKT",128.9
"BLAUPUNKT",133.926
"BLAUPUNKT",139.758
"BLAUPUNKT",141.108
"BLAUPUNKT",143.934
"BLAUPUNKT",147.1
"BLAUPUNKT",153.11
"BLAUPUNKT",157.044
"BLAUPUNKT",158
"BLAUPUNKT",160.5
"BLAUPUNKT",186.3
"BLAUPUNKT",188.97
"BLAUPUNKT",197.27
"BLAUPUNKT",203.32
"BLAUPUNKT",204.81
"BLAUPUNKT",211.836
"BLAUPUNKT",219
"BLAUPUNKT",221.6
"BLAUPUNKT",228
"BLAUPUNKT",234.49
"BLAUPUNKT",257.2
"BLAUPUNKT",259.3
"BLAUPUNKT",270
"BLAUPUNKT",306.3
"BLAUPUNKT",350
"BROOKLYN",33.5
"CAIXUN",16.3
"CAIXUN",25.21
"CAIXUN",25.92
"CAIXUN",32
"CAIXUN",34.52
"CAIXUN",35.9
"CAIXUN",38.3
"CAIXUN",38.82
"CAIXUN",38.92
"CAIXUN",39.5
"CAIXUN",59.24
"CHIQ",20
"CHIQ",20.2
"CHIQ",22
"CHIQ",23.3
"CHIQ",24.2
"CHIQ",27.7
"CHIQ",28
"CHIQ",30
"CHIQ",35
"CHIQ",35.2
"CHIQ",36.5
"CHIQ",46.8
"CHIQ",50
"CHIQ",51
"CHIQ",52.9
"CHIQ",53.7
"CHIQ",65
"CHIQ",66.2
"CHIQ",69.9
"CHIQ",72
"CHIQ",74.4
"CHIQ",82.3
"CHIQ",86.5
"CHIQ",90.1
"CHIQ",94
"CHIQ",94.1
"CHIQ",95
"CHIQ",113
"CHIQ",123.6
"CHIQ",136.1
"CHIQ",136.6
"CHIQ",137.7
"CHIQ",138
"CHIQ",154.23
"CHIQ",156
"CHIQ",158
"CHIQ",230.268
"CHIQ",248.9
"CHIQ",299.4
"CHIQ",337
"COOCAA",24.3
"COOCAA",32.9
"COOCAA",55.3
"COOCAA",67.9
"COOCAA",68.2
"COOCAA",83.6
"COOCAA",143.6
"COOCAA",152.8
"DECAMAX",106.68
"DEVANTI",151.11
"DEVANTI",203.37
"DGTEC",20.96
"DGTEC",69.6
"DGTEC",70
"DGTEC",93.528
"DGTEC",95.274
"DGTEC",96.3
"DGTEC",108.29
"DGTEC",108.294
"DGTEC",128.89
"DIGITECH",14.89
"DIGITECH",21.64
"DIGITECH",21.71
"DIGITECH",24.52
"DIGITECH",25.17
"DIGITECH",35.04
"DYNALINK",19.8
"EKO",17.74
"EKO",18.72
"EKO",20.8
"EKO",20.94
"EKO",22
"EKO",24.687
"EKO",25
"EKO",25.92
"EKO",27.3
"EKO",28.86
"EKO",29.6
"EKO",31
"EKO",31.626
"EKO",31.784
"EKO",31.814
"EKO",31.9
"EKO",32.4
"EKO",32.8
"EKO",33.27
"EKO",34.296
"EKO",34.4
"EKO",34.47
"EKO",34.8
"EKO",35.2
"EKO",35.3
"EKO",35.8
"EKO",36.2
"EKO",36.32
"EKO",36.95
"EKO",40
"EKO",40.38
"EKO",41.5
"EKO",41.95
"EKO",43.2
"EKO",45.012
"EKO",46.5216
"EKO",47.02
"EKO",47.76
"EKO",47.9
"EKO",48.19
"EKO",48.68
"EKO",48.96
"EKO",50
"EKO",50.5
"EKO",50.6
"EKO",50.67
"EKO",51.49
"EKO",51.8
"EKO",53.12
"EKO",53.38
"EKO",53.5
"EKO",54.04
"EKO",54.48
"EKO",54.5
"EKO",54.82
"EKO",55
"EKO",55.52
"EKO",55.82
"EKO",59.75
"EKO",59.9
"EKO",66.49
"EKO",66.62
"EKO",68.2
"EKO",69.5
"EKO",70.2
"EKO",72.3
"EKO",74.74
"EKO",75.18
"EKO",76.044
"EKO",76.8
"EKO",78.5
"EKO",82
"EKO",82.242
"EKO",82.938
"EKO",84.048
"EKO",84.82
"EKO",86
"EKO",86.21
"EKO",87.2
"EKO",87.3
"EKO",87.678
"EKO",87.96
"EKO",88.8
"EKO",91.788
"EKO",91.8
"EKO",92.1
"EKO",93.324
"EKO",94.12
"EKO",94.37
"EKO",94.65
"EKO",94.96
"EKO",96.06
"EKO",96.1
"EKO",96.56
"EKO",96.612
"EKO",98.85
"EKO",100.3
"EKO",100.8
"EKO",100.9
"EKO",102
"EKO",102.36
"EKO",102.7
"EKO",102.9
"EKO",104.9
"EKO",105.8
"EKO",108.132
"EKO",108.2
"EKO",110.12
"EKO",111.39
"EKO",111.438
"EKO",112.33
"EKO",113.2
"EKO",113.9
"EKO",115.1
"EKO",115.9
"EKO",117.3
"EKO",120
"EKO",124.968
"EKO",126
"EKO",126.1
"EKO",126.96
"EKO",127.8
"EKO",128.9
"EKO",129.96
"EKO",132.27
"EKO",134.4
"EKO",137.3
"EKO",137.7
"EKO",139.54
"EKO",139.758
"EKO",141.108
"EKO",142.1
"EKO",142.18
"EKO",143.1
"EKO",143.934
"EKO",145.2
"EKO",147.1
"EKO",147.21
"EKO",153.11
"EKO",154.08
"EKO",160
"EKO",161
"EKO",161.454
"EKO",162.1
"EKO",163.1
"EKO",167.26
"EKO",171.7
"EKO",174.22
"EKO",182.3
"EKO",186.3
"EKO",189.9
"EKO",191.4
"EKO",195.75
"EKO",198
"EKO",204.42
"EKO",204.81
"EKO",206.62
"EKO",227.32
"EKO",228.91
"EKO",234.49
"EKO",259.3
"EKO",305.2
"EMETE",104.8
"EMETE",110.08
"EMETE",175.6
"EMETE",199.69
"EMETE",320
"ENGLAON",16.5
"ENGLAON",20.3
"ENGLAON",25.03
"ENGLAON",25.84
"ENGLAON",27.25
"ENGLAON",28.3
"ENGLAON",29.05
"ENGLAON",36.27
"ENGLAON",37.1
"ENGLAON",38.46
"ENGLAON",38.6
"ENGLAON",40.45
"ENGLAON",42.76
"ENGLAON",43.25
