"Brand_Reg","OCCURRENCE_COUNT"
"AIWA",44
"AKAI",29
"ALTIUS",6
"AOA",5
"ARK",1
"AVEL INNOVATIONS",3
"BAUHN",69
"BLAUPUNKT",69
"BROOKLYN",1
"CAIXUN",55
"CHIQ",44
"COOCAA",8
"DECAMAX",1
"DEVANTI",2
"DGTEC",12
"DIGITECH",9
"DYNALINK",1
"EKO",98
"EMETE",55
"ENGLAON",25
"FFALCON",26
"FPD",3
"FURRION",4
"GORILLA",2
"HISENSE",260
"HUBBL",1
"HUBBL GLASS",2
"HYUNDAI",7
"ILUMA",14
"JVC",131
"KODAK",5
"KOGAN",705
"KONIC",16
"KONKA",34
"LG",603
"LINSAR",34
"LOEWE",27
"LSP TV",1
"METZ",7
"MONSTER",4
"MYVI",3
"PALSONIC",1
"PANASONIC",85
"PHILIPS",123
"POLAROID",11
"PRISM+",8
"Q.BELL",2
"QBELL",7
"RCA",1
"S VISION",1
"SAMSUNG",282
"SAMSUNG ELECTRONICS",833
"SHARETV",1
"SHARP",11
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD",4
"SIGNIFY",1
"SKYWORTH",23
"SMARTTECH",5
"SMTV",5
"SONIQ",3
"SONY",91
"SPARK ELECTRONICS",25
"SPHERE",13
"STAN CASH",1
"SVISION",4
"SYLVOX",130
"TAVICE",1
"TCL",91
"TEAC",14
"TECO",9
"TELEFUNKEN",9
"TENET",1
"THOMSON",2
"TOSHIBA",50
"VDT",1
"VEON",29
"WALTON",24
"WINTAL",1
"YOKOHAMA",5
"ZEN TV",4
